site,month,response,mean_control,mean_experimental,sd_control,sd_experimental,n_control,n_experimental,time_series_clean,days_since
Dune Marsh,51 months,Spartina alterniflora cover,0.267291666666667,0.458583333333333,0.206759242767275,0.210942671373197,12,12,3,1530
Raccoon Keys,13 months,Spartina alterniflora cover,0.160833333333333,0.306458333333333,0.0881909945241095,0.115130648777286,12,12,1,390
Raccoon Keys,18 months,Spartina alterniflora cover,0.376875,0.420125,0.181684432339553,0.236901314801217,12,12,2,540
Raccoon Keys,51 months,Spartina alterniflora cover,0.149888888888889,0.410333333333333,0.126830787315664,0.234596994865663,9,9,3,1530
Dune Marsh,13 months,pH,7.25833333333333,7.075,0.435802985790876,0.391094036587808,12,12,1,390
Dune Marsh,18 months,pH,7.0515,7.2655,0.222424042192957,0.471687974676634,12,12,2,540
Dune Marsh,51 months,pH,6.64583333333333,6.35416666666667,0.702740846236859,0.49380633548963,12,12,3,1530
Raccoon Keys,13 months,pH,7.075,7.03333333333333,0.3278719262151,0.519323569364004,12,12,1,390
Raccoon Keys,18 months,pH,6.777,6.93083333333333,0.753151801673232,0.544837395815291,12,12,2,540
Raccoon Keys,51 months,pH,6.25,6.38888888888889,0.684653196881458,0.356000156054897,9,9,3,1530
